0 000 000 019 019
1 020 000 019 019
2 040 000 019 019
3 060 000 019 019
4 080 000 019 019
5 100 000 019 019
6 120 000 019 019
7 140 000 019 019
8 160 000 019 019
9 180 000 019 019
A 000 020 019 019
B 020 020 019 019
C 040 020 019 019
D 060 020 019 019
E 080 020 019 019
F 100 020 019 019
G 120 020 019 019
H 140 020 019 019
I 160 020 019 019
J 180 020 019 019
K 000 040 019 019
L 020 040 019 019
M 040 040 019 019
N 060 040 019 019
O 080 040 019 019
P 100 040 019 019
Q 120 040 019 019
R 140 040 019 019
S 160 040 019 019
T 180 040 019 019
U 000 060 019 019
V 020 060 019 019
W 040 060 019 019
X 060 060 019 019
Y 080 060 019 019
Z 100 060 019 019
